mdb_file	table	rows	csv_path
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/Lifeunseuser2.mdb	data	0	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/Lifeunseuser2/tables/data.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	life12	2571	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/life12.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	main	19688	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/main.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	life12Title	528	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/life12Title.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	btype_couple	251	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/btype_couple.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	dream	2889	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/dream.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	sal	490	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/sal.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	sin	298	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/sin.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	gilbog	240	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/gilbog.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunse.mdb	fourbody	1289	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunse/tables/fourbody.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnse/lifeunseprojuyuk.mdb	T_Unse	614	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunseprojuyuk/tables/T_Unse.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/Lifeunsepromemo.mdb	datememo	0	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/Lifeunsepromemo/tables/datememo.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/Lifeunsepromemo.mdb	postit	0	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/Lifeunsepromemo/tables/postit.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/Lifeunseprouser.mdb	data	1	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/Lifeunseprouser/tables/data.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	life12	2571	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/life12.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	main	19688	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/main.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	life12Title	528	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/life12Title.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	btype_couple	251	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/btype_couple.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	dream	2889	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/dream.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	sal	490	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/sal.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	sin	298	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/sin.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	gilbog	240	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/gilbog.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunsepro.mdb	fourbody	1289	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunsepro/tables/fourbody.csv
/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/sources/raw/라이프운세/LifeUnsePro/lifeunseprojuyuk.mdb	T_Unse	614	/Users/tj/.openclaw/workspace/agents/architect/projects/tj-saju-master/extract/lifeunse/mdb/lifeunseprojuyuk/tables/T_Unse.csv
