Txt,Year12,Month12,idx
"일월용띠의 성향 - 항상 공부하면서 행동하는 건실한 행동파이다.

전해의 토끼해의 영향을 아직 강하게 받고 있으므로 좋은 위세에 신중성이 가해져서 무게가 있는 성격을 갖고 있다. 
무슨 일에도 노력을 아끼지 않는다.

운수는 태어날 때부터 갖고있는 건실성이 있기 때문에 다른 달의 용띠보다 아무래도 걸음이 느린 것같이 보이나 입신출세에 노력을 아끼지 않으면 착실하게 열매를 맺는다. 단, 젋었을 때에 너무 상황좋게 발전해지면 중년 이후에 일시 중단되는 기간을 맞게된다.

남성은 작가나 연극배우 가수가 이 달의 태생이다. 
여성은 다도, 꽃꽃이, 한복 등 순 한국식을 취미로 삼는 반면 생각은 합리적이며 극히 현실적인 사고방식이나 행동의 경향이 있다고 한다. 
생활력이 있는 가정적인 남성의 덕을 받게되나 무엇이든 이지로서 해결하려고 하면 아무리 부부 사이라도 충돌할 것이다. 
그러나 주간에 아무리 다투에도 밤이 되면 어떻게 해서라도 남편에게 타협을 구하려고하는 약한 점이 있으므로 큰 일로는 되지 않는다. 

궁합으로서는 소띠의 11월생, 개띠의 2월생 남성이 최고이다.
열성적인 일 태도에 반해서 가정에서는 그다지 말이 없는 것이 이 달의 남성이다. 
아내와의 대화도 간단하게 끝내고 잠자리에 훌쩍 들어가는 사람이 많은 것 같다. 
소띠의 9월생 여성이면 요리에서 침실까지 세심하게 돌봐주어서 당신을 괴로워하지 않을 것이다.
","辰","寅",1
"삼월용띠의 성향 - 예민한 감수성과 다정성을 갖는 반면에 강렬한 자아심을 속에 품고 있다.

이 상반되는 두 가지 성격이 결합해서 자기 개발에 빛을 내게하고 인격적으로나 사회적으로도 순조롭게 발전해간다. 
여러가지 장애, 무서운 경쟁상대가 나타나지만 이럴때는 이까짓것 하는 근성을 그대로 나타내서 타개해 나가는 사람이다.
남자배우나 여자배우, 기수 등 예능, 스포츠계에서 오랫동안 활약한 사람들이 많다.

이 달의 여성에는 내면의 강한 점이 그대로 밖으로 나타나 윤곽이 또렷한 남성적인 용모의 사람이 있다. 
남자복장이 잘 어울리며 연극에서의 남자역을 맡으면 일류스타가 되는 것은 틀림이 없다. 
레즈비언의 여성에게 유혹을 당할지도 모른다.
그러나 남성에 대해서는 정상 그 자체이며 완전히 여자답게 되고 이때만은 지나치다고 생각될 정도로 모성적인 태도를 나타낸다.
체력이 있고 또한 다채로운 취미를 잘 이해해 주는 남성을 찾아야 할 것이다.

개띠의 9월생이면 이상적이다. 
또 남성은 양때의 4월생 여성과 최고의 궁합이 된다.
","辰","辰",3
"오월용띠의 성향 - 명랑하고 친절하며 대인관계가 좋아 모두에게 호감을 받고 있다.
 
사람이 모였을 때는 자진해서 통솔력을 청해서 지도력을 발휘한다. 
또 집에서 입고 있던 옷차림으로 요리점에 가는 등 나가기를 좋아하는 점도 있고 귀금속 등 예쁜 것도 좋아한다. 
이와같이 양성의 좋은 성격이지만 애써 결점을 찾는다면 다소 신경질적이며 변덕스러운 점일 것이다.
프로야구의 감독, 한 곡을 몇년씩이나 계속 부르는 가수들이 이 5월생이다.

여성도 화려한 것을 좋아하며 매력적이다. 
그러나 5월 태생의 용띠에서는 여성쪽이 남성보다 용감하며 개척정신이 왕성하다. 
누구도 무서워서 가지않는 도깨비집의 소문을 들으면 제일 먼저 탐색하러 나가서 [이거 아무것도 없지 않나?] 하면서 태연하게 돌아온다. 
강도를 잡거나 치한을 경찰에 넘기는 등 여러가지 무용담이 많은 사람이지만 다만 이성에 관한한 극단으로 소심하고 얌전해진다.
 
뱀띠의 5월생 남성과 행복한 가정을 꾸릴 수가 있다. 
남성은 개띠의 4월생 여성이 좋을 것이다.","辰","午",5
"칠월용띠의 성향 - 충실하고 잘 살펴주며 좀 여성적인 것이 이 달의 남성이다.

정력적으로 잘 일하고 남자의 세계에서는 한발짝도 양보하지 않는 강한 사람이지만 막상 여자와 마주 대하면 갑자기 [남성이라는 것]을 자신이 포기하는 것이다.
어깨에 붙어있는 실밥을 떼어주거나 상대의 문닫는 시간을 쓸데없이 걱정하거나 지나치게 마음을 써서 실패하게 된다. 
여성이 간신히 그러한 마음에 되었는데 이때다 할 때에 [이런 일을 해서 나를 싫어하지 않겠나?] 
등으로 망치게 만든다. 
여성을 위하는 것도 적당하게 하여야 할 것이다. 
모두가 그렇다는 것은 아니지만 그러한 사람이 이 달 태생이 많다. 
지나치게 온순한 타입이므로 오히려 예리치 않은 약간 둔한 여성을 택하면 좋을 것이다.

추리, 사색이 필요한 학문관계, 미술평론, 의상 디자이너 등이 적합할 것이다.
여성은 활발하고 명랑하며 누구에게서도 사랑을 받으나 약간의  탐색기가 있어서 흠이다. 
이 달의 용띠에는 여배우, 여가수가 많은 것 같다. 
미용에 관해서 주의할 점을 말한다면 기미, 주근깨가 생기기 쉬운 체질이므로 특히 해수욕, 스키의 뒤에 피부 손질에 마음을 써야 할 것이다.

궁합은 범띠의 2월생 남성은 될수록 피하고 할 수 있으면 개띠의 4월생 사람을 택하도록 하자.","辰","申",7
"팔월용띠의 성향 - 용띠 제 1의 아이디어맨이다.

일이나 생활에는 항상 자기 나름대로의 아이디어를 살리려고 노력한다.
하숙의 방도 이 사람의 손이 닿으면 호화스러운 왕실의 방이 아닌가 할 정도로 변모하게 된다.
스탠드 한 가지라도 고물상에서 발견한 왕조식의 장식갓을 씌우고 창에는 진홍의 커튼을 치며 벽에는 금빛의 액자를 장식하는 등 돈을 쓰지않고 연구 하나로써 방의 분위기를 완전히 바꾸어 버린다.

직장에서 간부사원들이 난처한 문제로 골치를 앓고 있을 때 문제해결에 훌륭한 힌트를 생각해 내는 것이 이 달의 여성이다.

남녀 모두 다산계인데다가 애를 좋아하므로 결혼 후 5년정도 지나면 확실히 아이가 여럿이 될 것이다.
이번 하나로 그치자 라고 말하는 동안에 애가 셋이나 되는 체력이 왕성한 점이있다. 
남녀 모두 어떠한 직종에 종사해도 일단은 성공을 하게된다.

이 달의 여성에는 유방이 풍부한 사람이 많은 것 같다.
궁합은 여성의 경우 토끼띠의 2월생 남성과 최고의 궁합이 된다. 
어린이를 싫어하는 남성이든가 자기를 양손으로 껴안아주지 못 하는 가엾은 남성과는 결혼하면 안된다.
남성은 닭띠의 4월생 여성과 이상적인 궁합이 된다.","辰","酉",8
"십일월용띠의 성향 - 고독하고 소심하며 섬세한 신경의 소유자이다.

말을 할 때 절대로 상대의 눈을 보지 않는 사람이다.  
가장 앞줄에 서서 차를 기다리다가도 문이 열리고 사람들이 뒤에서 밀고 들어오면 그저 우물쭈물 망서리다가 결국은 자리도 잡지못하는 것이다.
사람을 밀어제치고 자기를 밀어 넣는 것을 할 수 없는 성질이므로 회사원, 저널리스트 등 사람과  절충이 많은 직업은 피하는 것이 좋을 것이다.
작가나 작곡가처럼 혼자서 꾸준히 재능을 발전시켜 성공할 사람이다.

여성은 도회적이며 날씬한 외견 그대로 성격도 온화하고 언동도 귀여우며 우아한 느낌이 든다. 
데이트할 때도 화제는 주로 음악이던가 조용한 분위기에 관한 것이다.
그리고 절대로 큰소리로 말을 하지 않는다. 
스포츠는 그다지 잘하지 못하지만 불이라도 났다면 남자 세 사람이 달라붙어도 들지 못할 무거운 금고를 들고 나오며 저금통장을 잊었다고 해서 불속으로 뛰어드는 용맹성을 발휘한다.
절대로 남성맹종형의 여성은 아니다.

소띠의 3월생 남성이 최고의 궁합이다. 
남성은 소띠의 12월생 여성이 좋다.

신경성의 병에 특히 주의하여야 한다.","辰","子",11
"일월 뱀띠의 성향 - 몸집이 좋고 성격이 좋으며 전 해인 용해의 영향이 강하게 남아있다.

너무 화려한 것을 좋아하지 않고 복장을 보아도 심플한 디자인을 선호한다. 
겸손한 인품에 쾌활성이 플러스되어 회사에서나 친척들에게도 신뢰를 받으며 특히 아랫사람의 상담 상대로서는 절대적인 존재이다. 
인생상담 생활평론에 오랫동안 활약한 사람은 바로 이 점을 얻은 존재인 것이다. 
이 달 태생의 사람들은 남의 일을 잘 도와주는 인격자가 많다.

인생에 대해서도 노력해서 진로를 개척하는 타입이며 30세가 지나서 비약적인 찬스를 맞게된다. 
저축심이 있으나 갬블(도박)성의 점에는 기대할 수가 없다.
카운셀러, 소아과의사, 간호사 등 세심한 일에 마음을 쓰는 직업을 택하면 성공한다.

애정면에서는 맞선으로 결혼할 타입이다.
결정하는데에 시간이 걸리므로 연애를 해도 두 사람의 타이밍이 잘 맞지않는 점이 있다.
당신이 여성이라면 보호자적인 남성을 맞이하고, 연령이 5세이상 차이가 나는것이 안정감이 있는 생활을 보낼 수가 있다.

궁합은 소띠의 7월생, 12월생 남성이 좋을 것이다. 
남성은 성격적으로 비슷한 여성을 좋아하므로 화려하지는 않지만 씩씩한 행동력이 있는 원숭이띠의 2월생, 뱀띠의 8월생 여성이 좋다.","巳","寅",13
"삼월 뱀띠의 성향 - 의아심을 품는 사람이다.

모든 것에 [이것이 어째서]라 의심하지 않을 수가 없다. 
또 의문을 말로 표현하지를 못하므로 안에 품어 시무룩한 성격으로 보이게 된다.
그러나 타고난 우수한 지능을 발전시키고 두뇌, 감정을 살리는 일에 종사하면 톱으로 뛰어오를 수 있는 사람이다.

재능은 인정을 받아도 금전과는 인연이 없는 사람도 있다.
정의감이 강하고 강인한 상사에 이끌려서 실패의 책임을 뒤집어 쓰는 판국에 빠지는 일도 있을 것이다. 
또 기획자로서의 재능도 있다.

이 달의 남성은 여성에 대해서 특히 의심이 깊고 [나에게 이렇게 친절하게 해 주는 것은 무엇인가 속셈이 있기 때문이 아닌가?] 라고 생각해서 좀처럼 마음을 주지 않는다. 
애써 여러 해 사귀어온 애인을 다른 사람에게 뺏길 때가 있다.

양띠의 4월생 여성이면 당신의 내심에 있는 꺼림칙한 것을 상냥하게 풀어줄 것이다. 
여성은 예쁜것을 좋아하며 꿈을 꾸는 사람이며 용모나 재산, 지위에 반해서 결혼한다. 

뱀띠의 8월생, 닭띠의 2월생 남성이면 당신이 바라는 조건에 상냥한 인품이 플러스 된 사람이다.","巳","辰",15
"오월 뱀띠의 성향 - 열중하기 쉬운 성질을 갖고 있다.

일에 집중하면 다른 일은 일체 생각치않게 되고 극단으로 자기 중심이 된다.
행동력에 변동이 있어 잘 움직이고 있다고 생각하면 게으름을 피운다.
배가 고프지 않으면 몸을 도사리고 움직이지 않는 뱀과 비슷하다.
그러나 이 성질은 체력이 약한 사람, 학문을 탐구하는 사람에게는 도리어 좋은 일을 하기 위한 도움이 된다. 
작곡가 브람스가 여러가지의 걸작을 남긴 것도 이 점을 살렸기 때문이다.

술버릇이 나쁜 것이 곤란한 점이다. 이 주벽만 없다면 좋은 사람이다. 
기회를 잡는 것이 좋고 일생의 출발은 다른 사람보다 한 발 앞서지만 20대 중반에서 급한 성격과 주벽 때문에 막힐 때가 있다.

일단 연애를 하면 남녀 모두 극단적으로 정열적이며 결승점까지 서로 흡수하게 된다. 
그리고 궁합이 좋건 나쁘건 서로가 좋으면 된다는 식으로 결혼을 한다.
젊었을 동안은 그런대로 잘 지내지만 30세가 지나면 특히 부부의 애정면에서 금이 생기게 된다.

이 달의 태생의 사람은 무드보다도 실질을 잡는 성질인 것이다. 
이 궁합이 맞지 않으면 재혼이 많아진다. 
남성은 범띠의 5월생, 용띠의 5월생과, 여성은 돼지띠의 4월생과 특히 잘 맞는다.
","巳","午",17
"유월 뱀띠의 성향 - 현명하고 판단이 빠르면 민첩한 행동을 할 수 있는 사람이다.

한가지 일에 열중하는 집찹성은 없고 명랑하고 친절심이 넘친다.
특히 웃는 얼굴에는 사람들을 끌어당기는 힘이 있다.
예를 들면 탤런트나 영화배우들의 얼굴을 상상해 보자. 
모두가 이성에게 인기가 있어 그러므로 일반적으로 조혼(早婚)과 만혼(滿婚)의 양극단으로 나누어진다.

학생시절에 결혼하는 사람도 상당히 있다. 
좀 경솔한 점이 있어 사람들의 앞장을 서는 기미가 있다. 
낭비하는 버릇도 눈에 띈다. 
특히 계장, 과장급일 때는 교재비가 쌓여 가계에 압박을 주게되는 수도 있을 것이다.

이 달의 여성은 비교적 화려하며 행동파의 사람이 많은 것 같다.
이 사람들이 가장 경계해야 할 사람은 여자를 속이는 플레이보이보다 오히려 쓰레기 같은 인간이며 의뢰심이 강한 남성, 당신으로부터 1,000원, 2,000원의 잔돈을 빌리는 남성이다.
이러한 남성과 결혼하면 일생 생활고에 시달릴 염려가 있다.

뱀띠의 10월생, 개띠의 8월생 남성이면 안심하고 애정을 바칠 수가 있을 것이다. 
또 프라이버시를 존중하는 사람이므로 결혼해서 아파트를 고를 때는 될 수록 벽이 두꺼운 철근맨션으로 하도록 한다.
또한 남성의 궁합은 범띠의 10월생 여성이 좋다.","巳","未",18
