idx,sin,txt
34,"관귀학관","官貴學館이란 柱中 日柱의 官星(관성)을 살펴보는 것으로 吉星의 힘을 가늠할 수 있는 것이며,
天干의 굳건함이 뒤 따라야 할 것이니,
이를 통해 본 吉星이 들면 官運(관운)이 매우 吉(길)하며, 직장에서의 승진과 동료애를 얻을 수 있으니,
男命에게는 더없이 중요하며 좋은것이라 할것입니다.

그 구성을 본다면,
甲乙日干이 地支 巳火를 만나는 것이요,
丙火日干이 地支 申金을 만나는 것이요,
戊己日干이 地支 亥水를 만나는 것이요,
庚辛日干이 地支 寅木을 만나는 것이요,
壬癸日干이 地支 寅木을 만나는 것으로 吉星의 비춤을 알수 있는 것입니다.

吉星이 나를 받쳐주니, 승승장구하여 일터에서 나의 입지가 더욱 높아지는 것이며,
반드시 관료로서의 이로움이 아니더라도 日干(일간)을 크게 받쳐 주는 것이니, 하는일이 평탄해지며,
吉運이 나를 도와 貴人이 늘 가까이 하고 있게되는 것입니다.

그러나, 타주의 기운이 日柱의 長生宮(장생궁)을 헤치는 기운으로 자리하고있다면, 천간의 은덕을 받을수 없는것이니,
이를 살펴 봐야 할것입니다."
35,"금여성","金與星이 柱中에 머무르게 된다면,
性品이 온화하고 용모단정한 사람으로 표출됩니다.
특히 머리가 비상하기 때문에 총명함과 재치있는 기질을 크게 품은 성품으로 발전하게 되니,
장차 학자나 연구원등의 길을 간다해도 매우 좋다 할것입니다.

승진과 같은 출세의 運이 무척이나 大吉한 運이라 볼 수 있습니다.
金與星의 특징이라면 妻德이 좋다는 것도 한 몪하니, 주위로부터 부러움과 존경 또한 받게되는 吉神이라 할것입니다.

그 구성을 본다면,
甲日生이 辰土를 만나는 것이요, 乙日生이 巳火를 만나는 것이요,
丙日生이 未土를 만나는 것이요, 丁日生이 申金을 만나는 것이요,
戊日生이 未土를 만나는 것이요, 己日生이 申金을 만나는 것이요,
庚日生이 戌土를 만나는 것이요, 辛日生이 亥水를 만나는 것이요,
壬日生이 丑土를 만나는 것이요, 癸日生이 寅木을 만나는 것으로 알수 있는 것입니다.

다만, 吉星이 刑, 沖, 害, 破, 空亡이 되지 않는지를 살피며, 吉星을 論해야 할것입니다."
36,"교록","交祿이란 祿을 움직이니 나와 남의 祿이 바뀐다는 것을 뜻함입니다.
다시말해 祿은 食祿이라 볼 수 있는 것이며,
이러한 食祿을 生하는 사람과 바꾸어 가진다는 것이니,
나의 食祿이 남에게 가는 것이요, 남의 食祿이 내것이 된다는 것입니다.
이 과정이 매우 좋은 방향으로 힘을 뻗친다는 것입니다.

그러니, 쉽게 본다면 交祿이 있는 사람은 물건을 사고 파는 商人의 기질이 있는 것이니,
상업과 무역, 물류교역을 하는 업종에 종사하는 사람이 많다 할것입니다.

交祿의 吉星이 비추고 있는 사람은, 사람과의 관계에 특히 좋은 吉運이 있는 사람이라 보면 될것입니다.

그 구성을 살펴본다면,
甲申日生이 庚寅을 만나, 甲木의 祿이 庚金에, 庚金의 祿이 甲木에 감이라 할것이며,
乙酉日生이 辛卯를 만나, 乙木의 祿이 辛金에, 辛金의 祿이 乙木에 감이라 할것입니다.
그러니 이와 같이 祿의 서로 바뀐다 할 것이니 이를보아 交祿이 된다 할것입니다.

이를 다시 본다면 甲庚과 寅申과 乙辛과 卯酉이니,
쉽게 보아 알 수 있듯이 干과 支의 沖(충)이라 할 것이니 破像이라 할 수 있는 것입니다.
이같이 巴像되는 기운을 제하고나면 나머지 기운이 교록의 吉함을 크게 받게되는 것입니다.

그러니, 이를 잘 보아 交祿의 길성이 있고 없음에만 치중하면 안될 것이며,
吉星에 空亡의 기운이 들어 있는지를 살피고 주의함이 필요한 것입니다."
37,"문곡귀인","文曲貴人은 學文을 보필하는 吉星이라 할수있습니다.
이 吉星이 비추는 사람은 학업에 진도가 남다르게 빠른 사람이라 할 것이니,
적은 노력으로 많은 공부를 해낼수 있는 힘이 있는 사람이며,
문장력과 기억력이 좋은 사람이라 할것입니다.

藝能적인 면이 갈한 吉星이라 해도 과언이 아닌 吉神인 것입니다.

학계와 인연이 깊은 사람이니, 평생을 두고 책을 벗삶아 살게되는 文人에게 많다 할 것이나,
이 길성 또한, 柱中의 이웃한 힘의 生剋을 당하는 것으로 크기를 봐야할 것이니,
단순한 吉星의 有無만으로 학문의 힘을 짐작해서는 안될것입니다.

그 구성을 살피자면,
甲木日에 出生한 사람이 柱中에 亥水를 만나면 이 吉星을 찾을수 있는것이며,
乙木日에 出生한 사람이 柱中에 子水를 만나면 이 吉星을 찾을수 있는 것이며
丙火日과 戊土日에 出生한 사람이 柱中에 寅木을 만나면 이 吉星을 찾을수 있는것이며
丁火日과 己土日에 出生한 사람이 柱中에 卯木를 만나면 이 吉星을 찾을수 있는것이며
庚金日에 出生한 사람이 柱中에 巳火를 만나면 이 吉星을 찾을수 있는것이며
辛金日에 出生한 사람이 柱中에 午火를 만나면 이 吉星을 찾을수 있는것이며
壬水日에 出生한 사람이 柱中에 辛金을 만나면 이 吉星을 찾을수 있는것이며
癸水日에 出生한 사람이 柱中에 酉金을 만나면 이러한 文曲貴人의 吉星이 드는 것입니다.

문곡귀인(文曲貴人)의 吉星을 살필때 주위해야 할것은 官殺混雜(관살혼잡)이 되면 길성의 힘이 외소해지는것이니,
이를 필히 확인하고 길성을 살펴봐야 할것입니다."
38,"문창귀인","文昌貴人이란 學文을 보는 힘이 지대하여 좋음이니,
그 힘을 본다면 추진력과 발표력이 뛰어난 점을 들수 있는 吉星입니다.

그러하니, 일찍이 지혜와 총명함이 저절로 생겨나는 것이며, 글을 쓰는 문장의 筆力이 좋은 것으로 나타남입니다.
특히, 여자에게 있어 이 吉星이 들어 온다면,
어린시절 文學少女라는 말을 들을만치 책에 심취하게 되는 성향 또한 나옵니다.
이 吉星이 든다면 가정교육이 바르며, 예능계통의 소질이 좋다 할것입니다.

文昌貴人의 구성을 살펴보자면,
甲日生에 巳火가 들며, 乙日生에 午火가 들며,
丙日生에 申金이 들며, 丁日生에 酉金이 들며,
戊日生에 申金이 들며, 己日生에 酉金이 들며,
庚日生에 亥水가 들며, 辛日生에 子水가 들며,
壬日生에 寅木이 들며, 癸日生에 卯木이 드는 것으로 알수가 있는 것입니다.

그러나, 이러한 吉星이 드는 것또한 刑, 沖, 空亡이 되면 그 힘을 쓰지 못하는 것이니, 
이를 살피는 데 또한 주의함이 필요한것입니다.

더우기 문창귀인(文昌貴人)은 필히 印授(인수)를 살펴야 할것이니,
印授의 吉함이 있다면, 大學者의 風貌(풍모)를 띄게 되는것이니,
이또한 반드시 살펴봐야 할 것입니다."
39,"암록","暗祿이란 글자 그대로 어둡고 은밀한의 뜻을가진 祿을 말함입니다.
暗祿의 吉星이 비추고 있는 사람은,
正祿과는 상반되는 비 공식적인 도움을 받게된다고 생각한다면 이해가 쉬울 것입니다.
그러니 四柱에 이 吉星이 비추고있다면,
어려움에 처해도 보이지 않는 도움을 받게되며 금전적으로도 궁핍함이 없어지는 것입니다.

그 구성을 본다면,
甲日生이 亥水를 만나 나오는 것이요, 乙日生이 戊土를 만남으로 나오는것이며, 
丙日生과 戊日生이 申金을 만나 나오는 것이며, 丁日生과 己日生이 午火를 만남으로 나오는 것이며,
庚日生이 巳火를 만나 나오는 것이며, 辛日生이 辰土를 만나 나오는 것이며,
壬日生이 寅木을 만나 나오는 것이요, 癸日生이 축토를 만나 나오는 것이라 할 수 있습니다.

그러니, 正祿과는 六合(夫婦合)이 되는 것을 쉽게 알수 있는것입니다.
그러나, 暗祿을 살핌에 正祿과 한자리를 같이할 수 없는 것을 알아야하며,
沖과 刑을 받아 破像이 되거나 空亡을 만나면 그 힘이 나오지 않음을 알아야 할것이니,
주의함이 필요한 것입니다."
40,"정록","正祿이란 食福과 財福이 있음이니,
바르고 정직함에서 나오는 것이라 하여 국가와 사회와 같은 곳에 위치함이라 볼 수도 있는 것이며,
봉사와 노력의 댓가라 할 수 있으니,
이름자 그대로 바를正을 사용하는 祿이라 할것입니다.
그러하니, 이 吉星을 본다면 정직과 강건함이라 할 것이니 흔히 財福과 食福이 있다 할 것이나,
그 근간을 본다면, 正祿자체가 十神의 比肩과 같은 것이니,
고집이 있고 이기적이라 볼 수도 있으니, 夫婦宮으로만 본다면 좋다할 수 없는 吉星인 것입니다.

正祿이 月柱에 자리하면, 건록(建祿)이라 하며, 時柱에 자리하면 귀록(貴祿)이라 칭하기도 합니다.
正祿의 일반적인 성향이라 한다면,
부모와 조상의 德을 받음이라 할것이며, 日支나 時支에 있다면 妻와 子息의 福을 받음이라 할 수 있는 것입니다.

그 구성을 본다면,
甲木의 祿이 寅木에서 나온다는 것이며, 乙木의 祿은 卯木에서 나오는것이며,
丙火와 戊土의 祿은 巳火에서 나오는 것이며, 丁火와 己土의 祿은 午火에서 나옴이요,
庚金의 祿은 申金에서 나옴이며, 辛金의 祿은 酉金에서 나옴이요,
壬水의 祿은 亥水에서 나옴이며, 癸水의 祿은 子水에서 그 자리를 찾을 수 있는것입니다.

그러나, 正祿이라 하여 吉星으로만 존재하는 것이 아니니,
四柱에 祿이 많으면 반대로 凶事가 끊이지 않는것도 알아야 할것입니다."
41,"진신","進神이란 매사에 나를 보좌해 주는 吉星이니, 하는일마다 순탄하고 정진이 되는 吉神입니다.

진신의 길성이 비추는 사람은 인덕이 있어 귀인이 나를 보살펴주는 격이니,
난관이 생겨도 이를 스스로 노력하며 그 돌파구를 찾는 사람이며, 때를 같이하여 협력자를 만나는 사람이 되는것입니다.

그러니, 일에 많은 보살핌이 있는 것이며, 노력이상의 성과또한 얻을 수 있는것이 이 吉星의 福인 것입니다.

그 구성을 본다면,
寅卯辰月生이 甲子日을 만나 이 吉星이 비추는 것이며,
巳午未月生이 甲午日을 만나 이 吉星이 비추는 것이며,
申酉戌月生이 己卯日을 만나 이 吉星이 비추는 것이며
亥子丑月生이 己酉日을 만나 이 吉星이 비추게 되는 것입니다.

進神의 吉星이 있다면 큰 福이라 할 것이나,
柱中의 기반이 좋지 않거나, 凶殺이 多住하면 그 힘이 약해지는 것이니,
이 또한 쉽게 풀어볼 것은 아닌것입니다.,

더우기 柱中에 官殺의 凶厄이 없어야 進神의 德과 福이 다가올 수 있는것이니,
이점을 바드시 참고하여 吉星의 기운을 살펴야 할것입니다."
42,"천사성","天赦盛이란 一生을 살아감에 처세술이 좋다 할 것이니,
불현 닦치는 病厄이나 財禍를 당해도 살길을 열어주는 吉星이니,
나를 어려움에서 도와주는 福星이라 할것입니다.

그 구성을 살펴보자면,
寅卯辰月에 出生한 사람의 日柱가 戊寅日生이면 이러한 吉星이 비추게 됨이며,
巳午未月에 出生한 사람의 日柱가 甲午日生이면 이러한 吉星이 비추게 됨이며
申酉戌月에 出生한 사람의 日柱가 戊申日生이면 이러한 吉星이 비추게 됨이며
亥子丑月에 出生한 사람의 日柱가 甲子日生이면 이러한 吉星이 비추게 됨입니다.

그러나, 日柱가 病弱하거나, 柱中에 그힘이 凶작용을 하는 사람이 많으니,
이를 쉽게 보고 판단해서는 안될것입니다.

더구나, 日干의 힘이 身旺하다면, 오히려 길성의 도움을 받지 못하는 것이며,
偏狹(편협)한 기운을 크게 가진 四柱또한 길성의 힘이 못 미치는 四柱이니, 이점을 잘 분별하여 吉星의 福됨을 찾아야합니다."
43,"천을귀인","天乙貴人을 다른말로 옥당천을귀인(玉當天乙貴人)이라고 칭하기도합니다.
천을귀인은 多福한 기운이 매우 강한 吉星입니다.

이 吉星이 四柱에 자리하고 있으면,
사람으로부터 좋은 도움을 받게되며, 관직에 임할시 좋은 자리를 차지하게 되는 것이며,
性品이 총명하고 지혜가 밝음이요, 주변에 德이 있는 사람이 많음을 뜻하게 됩니다.
때때로 어려움에 처했을 때에 貴人의 보살핌을 받으니 타인에게서 힘을 얻어 이를 물리치게 됨이니,
그 귀함으로 본다면 참으로 眞貴(진귀)함이라 할 것이며, 한 평생을 살아가는데 福 많은 사람이 되는 것입니다. 

그 구성을 살펴보자면,
甲戊庚日에 出生한 사람이 柱中에 丑土와 未土를 만나면 볼 수 있는 것이며,
乙日이나 己日에 出生한 사람이 柱中에 子水나 申金을 만나면 볼 수 있는 것이며,
丙日이나 丁日에 出生한 사람이 柱中에 亥水나 酉金을 만나면 볼 수 있는 것이며,
壬日이나 癸日에 出生한 사람이 柱中에 巳火나 卯木을 만나면 볼 수 있는 것이며,
辛日에 出生한 사람이 柱中에 寅木이나 午火를 만나면 볼 수 있는 吉星입니다.,

또한, 천을귀인은 天地人의 三奇의 像이 있는데,
이 기운이 各柱에 자리하여 세 기운이 合을 이룬다면, 大吉하고 大吉할 것이니,
人品이 높음이며, 따르는 者가 人山人亥를 이룰것이니,
고관대작하며 만천하에 이름을 떨칠것이며 一生이 영화로운 사람이 될것입니다.

그러나, 이에는 刑 沖 空亡, 또는 合局으로 그 모양 새가 凶하게 자리할 수도 있는 것이니,
天乙貴人이 四柱에 있다하여 모두가 좋은 吉神의 힘을 얻는 것이 아니니, 반드시 주의가 필요한것입니다."
