Term,Frequency
운입니다,334
사주원명,136
시기는,130
있으면,118
당신의,118
강릉시,104
보조성이,100
시기에는,94
자명은,92
오명은,86
운으로,80
있으니,80
다음과,74
있습니다,70
주성은,70
이루니,68
당신이,68
운이며,66
때문에,62
운이니,54
유리한,54
도움으로,52
직장인은,52
이루고,52
불리한,52
것입니다,50
도움을,44
기혼자는,44
말합니다,44
그러나,42
운수를,42
입니다,38
있으며,38
그러므로,38
주의를,36
자명인궁,36
오명신궁,36
매사에,34
근신자중,34
바랍니다,32
상징하며,32
갖습니다,32
마음이,30
여기서,30
재산이,29
시기에,28
점쳐볼,28
마음으로,26
친구와,26
모친의,26
좋습니다,26
숙지황,26
타고난,26
운명을,26
이라는,26
하였으면,26
강동면,26
되거나,24
관련된,24
만사가,24
어려움이,24
백복령,24
강하고,24
가지고,24
삼기순수,24
사주에,24
직업을,24
하나인,24
타고났음을,24
뜻합니다,24
있으므로,23
반드시,22
구설수가,22
사업의,22
근심이,22
귀하가,22
기능이,22
자명자궁,22
오명오궁,22
자명축궁,22
오명미궁,22
경우가,22
사업이,20
자신의,20
금금불급,20
금금태과,20
당신은,20
경향이,20
사주에서,20
하십시오,18
요하며,18
고심하는,18
얼굴이,18
비유를,18
인간의,18
건강상,18
특성을,18
부동산,16
그렇지,16
사업자는,16
부동산의,16
질병이,16
건강이,16
의리를,16
손상하니,16
성실과,16
저축을,16
생활화,16
금수불급,16
배우자는,16
운이다,16
잠버릇,16
구정면,16
된다는,14
개인의,14
번창하게,14
가옥의,14
망신수가,14
집안에,14
가정에,14
건강에,14
불길한,14
관계의,14
하므로,14
직장생활에,14
계절에,14
잉태되었음을,14
말하며,14
운기가,14
운기의,14
기준시점,14
시작되었음을,14
선천체질이,14
귀하는,14
발병요인들이,14
맥박이,14
백작약,14
의지가,14
귀하에게는,14
소개합니다,14
성격은,14
부족한,14
울음소리,14
쌍가마,14
출생할,14
만족을,14
여성에게,14
부적이다,14
건강관리에,13
성격이,12
자식을,12
여자의,12
가까운,12
금전의,12
막힘없이,12
생기기,12
쉬우니,12
매매에,12
요합니다,12
친구의,12
사이가,12
자세로,12
등으로,12
우려가,12
때일수록,12
여의치,12
이상이,12
자녀로,12
새로운,12
자식과,12
관련한,12
가정불화와,12
근심으로,12
밤잠을,12
못이루고,12
귀인의,12
약하고,12
금목태과,12
원기를,12
됩니다,12
체질이면서,12
있어서,12
못하고,12
쌍목성림,12
등라반목,12
건시열화,12
독산고목,12
근제송토,12
비궁파벌,12
목곤쇄편,12
척범표양,12
수근로수,12
금상첨화,12
복음잡초,12
삼기상좌,12
선화명병,12
일기득사,12
일기피형,12
청룡도주,12
하엽연화,12
녹야조로,12
비조질혈,12
복음홍광,12
월기득사,12
대지보조,12
형혹입백,12
일월상회,12
강휘상영,12
흑운차일,12
청룡전광,12
소전종작,12
상아분월,12
양화성염,12
유화유로,12
성타구진,12
화련진금,12
소훼주옥,12
성기득사,12
주작투강,12
거석압목,12
청룡합령,12
일출동산,12
화소적벽,12
복음준산,12
물이류취,12
조주위학,12
반음루기,12
산명수수,12
암석침식,12
영불발아,12
유정밀의,12
화패지호,12
주작입묘,12
복음연약,12
전도형격,12
습니오옥,12
반음탁수,12
지형현무,12
복궁최잔,12
태백봉성,12
태백입형,12
정정지격,12
유로무화,12
관부형격,12
복음전격,12
철추쇄옥,12
모산소격,12
반음대격,12
월하송영,12
백호창광,12
간합패사,12
옥신득기,12
반음피상,12
입옥자형,12
백호출력,12
복음상극,12
한당월영,12
천뢰화개,12
축수도화,12
일락서해,12
간합성기,12
